playerid,position,height,weight,birthday,country,school,draft_year,API_Names
201144,Guard,6-1,175,1987-10-11,USA,Ohio State,2007,Mike Conley
1626192,Guard,6-5,209,1993-01-06,USA,Notre Dame,2015,Pat Connaughton
203496,Forward,6-7,209,1990-12-14,USA,Tennessee State,2013,Robert Covington
1628470,Forward,6-7,221,1990-12-19,USA,South Carolina Upstate,2017,Torrey Craig
203109,Forward,6-6,235,1990-07-06,USA,Marquette,2012,Jae Crowder
1629633,Guard-Forward,6-6,195,1999-02-20,USA,Texas Tech,2019,Jarrett Allen
1630595,Guard,6-7,220,2001-09-25,USA,Oklahoma State,2021,Cade Cunningham
203552,Guard,6-1,185,1990-08-23,USA,Duke,2013,Seth Curry
201939,Guard,6-2,185,1988-03-14,USA,Davidson,2009,Stephen Curry
1630700,Guard,6-7,199,2003-03-17,Australia,NBA G League Ignite,2022,Dyson Daniels
203076,Forward-Center,6-10,253,1993-03-11,USA,Kentucky,2012,Anthony Davis
1631098,Guard,6-4,195,2002-02-27,USA,Wisconsin,2022,Johnny Davis
1629056,Guard,6-4,201,1997-05-16,USA,Mississippi,2019,Terance Mann
1631120,Guard,6-1,195,2002-10-03,USA,Alabama,2022,Johnny Davis
1630620,Forward,6-7,245,1999-10-20,USA,Louisiana State,2022,Darius Garland
201942,Guard-Forward,6-6,220,1989-08-07,USA,Southern California,2009,DeMar DeRozan
1628978,Guard,6-4,203,1997-01-31,USA,Villanova,2018,Donte DiVincenzo
1631217,Forward,6-10,210,2002-01-21,France,Michigan,2022,Moussa Diabaté
1631172,Forward,6-9,185,2003-05-21,France,New Zealand Breakers,2022,Ousmane Dieng
203915,Guard,6-5,215,1993-04-06,USA,Colorado,2014,Spencer Dinwiddie
1629029,Forward-Guard,6-7,230,1999-02-28,Slovenia,Real Madrid,2018,Luka Dončić
1628416,Guard,6-4,180,1996-02-18,USA,Oregon,2017,Kyle Lowry
1629652,Guard,6-4,220,1999-04-19,Canada,Arizona State,2019,Luguentz Dort
1630245,Guard,6-5,200,2000-01-17,USA,Illinois,2021,Ayo Dosunmu
1629653,Guard,6-1,185,1999-08-02,USA,Kansas,2020,Kevon Looney
201609,Guard,6-4,190,1986-05-06,Slovenia,Union Olimpija,2008,Gradey Dick
203083,Center,6-11,279,1993-08-10,USA,Connecticut,2012,Andre Drummond
1630537,Guard,6-5,190,1997-06-13,Dominican Republic,Oregon,2021,Chris Duarte
1627739,Guard,6-3,205,1994-03-18,USA,Providence,2016,Kris Dunn
201142,Forward,6-10,240,1988-09-29,USA,Texas,2007,Kevin Durant
1631105,Center,6-11,250,2003-11-18,USA,Memphis,2022,Jalen Duren
1631106,Forward,6-8,215,2001-05-10,USA,Louisiana State,2022,Tari Eason
1630162,Guard,6-4,225,2001-08-05,USA,Georgia,2020,Anthony Edwards
1630556,Forward,6-7,203,2000-08-09,USA,Pepperdine,2021,Kessler Edwards
1631165,Guard,6-3,175,2000-01-08,USA,Alabama,2022,Keon Ellis
203954,Center-Forward,7-0,280,1994-03-16,Cameroon,Kansas,2014,Joel Embiid
1629234,Forward-Center,6-10,245,1997-02-01,USA,Oregon State,2018,Drew Eubanks
202324,Forward,6-9,265,1991-07-15,USA,Georgia Tech,2010,Derrick Rose
1628981,Forward-Center,6-10,240,1998-08-15,Angola,Maryland,2019,Bruno Fernando
1627827,Forward,6-7,220,1993-05-04,USA,Florida,2016,Dorian Finney-Smith
1630201,Guard,6-1,175,1998-05-09,USA,San Diego State,2020,Malachi Flynn
1631323,Forward,6-7,209,1995-12-09,Italy,Baskonia,2022,Simone Fontecchio
1627854,Guard,6-2,205,1993-07-23,USA,Michigan State,2016,Trent Forrest
1630235,Guard,6-4,210,1998-06-12,USA,Florida State,2020,Trent Forrest
1630701,Forward,6-8,250,2003-01-16,USA,NBA G League Ignite,2022,Michael Porter Jr.
203095,Guard-Forward,6-6,205,1992-10-29,France,Poitiers Basket 86,2012,Evan Fournier
1628368,Guard,6-3,185,1997-12-20,USA,Kentucky,2017,De'Aaron Fox
1628365,Guard,6-4,209,1998-05-29,USA,Washington,2017,Markelle Fultz
1629655,Forward-Center,6-10,234,1998-10-01,USA,Arkansas,2019,Daniel Gafford
1629636,Guard,6-1,192,2000-01-26,USA,Vanderbilt,2019,Darius Garland
1630568,Center,6-10,243,1998-12-27,USA,Iowa,2021,Luka Garza
200752,Forward-Guard,6-8,250,1986-08-17,USA,Connecticut,2006,Rudy Gobert
202331,Forward,6-8,220,1990-05-02,USA,Fresno State,2010,Paul George
201959,Forward,6-9,232,1985-06-24,USA,Southern California,2009,Tari Eason
1630581,Guard,6-8,216,2002-10-10,Australia,NBA Global Academy,2021,Josh Giddey
1628983,Guard,6-6,195,1998-07-12,Canada,Kentucky,2018,Shai Gilgeous-Alexander
1630264,Forward,6-8,230,1992-10-17,USA,Virginia,2020,Anthony Gill
1631367,Guard,5-9,160,1998-07-14,USA,Richmond,2022,Jacob Gilyard
203497,Center,7-1,258,1992-06-26,France,Cholet,2013,Rudy Gobert
1630692,Guard,6-3,200,1998-10-23,USA,St. Louis,2021,Jordan Goodwin
203932,Forward,6-8,235,1995-09-16,USA,Arizona,2014,Aaron Gordon
201569,Guard,6-3,215,1988-12-25,USA,Indiana,2008,Eric Gordon
1628984,Guard,6-1,195,1995-02-22,USA,Kansas,2018,Devonte' Graham
203924,Forward,6-8,210,1994-03-12,USA,Syracuse,2014,Jerami Grant
1631260,Guard,6-5,190,1999-09-27,USA,Northern Iowa,2022,A.J. Green
201980,Guard,6-6,215,1987-06-22,USA,North Carolina,2009,Danny Green
203110,Forward,6-6,230,1990-03-04,USA,Michigan State,2012,Draymond Green
203210,Forward-Center,6-9,227,1990-06-21,USA,Alabama,2014,Jalen Green
1630224,Guard,6-4,186,2002-02-09,USA,NBA G League Ignite,2021,Jalen Green
1629750,Guard,6-5,205,1993-07-23,USA,Radford,2019,Jalen Green
201145,Forward,6-8,235,1986-08-28,USA,Georgetown,2007,Jeff Green
1630182,Guard,6-7,200,2000-11-16,Australia,Arizona,2020,Josh Green
1631100,Forward,6-6,220,2003-08-25,USA,Duke,2022,AJ Griffin
201933,Forward,6-9,250,1989-03-16,USA,Oklahoma,2009,AJ Griffin
1629656,Guard,6-5,210,2000-05-08,USA,Houston,2021,Quentin Grimes
1629060,Forward,6-8,230,1998-02-08,Japan,Gonzaga,2019,Rui Hachimura
1630169,Guard,6-5,185,2000-02-29,USA,Iowa State,2020,Tyrese Haliburton
1631160,Guard,6-7,215,2002-01-14,USA,Saint Joseph's,2022,Jordan Miller
203501,Guard-Forward,6-5,205,1992-03-16,USA,Michigan,2013,Tim Hardaway Jr.
201935,Guard,6-5,220,1989-08-26,USA,Arizona State,2009,James Harden
1630702,Guard,6-3,198,2002-07-05,USA,NBA G League Ignite,2022,Jaden Hardy
1631199,Forward,6-5,245,2000-04-12,USA,Rutgers,2022,Ron Harper Jr.
203914,Guard,6-4,210,1994-09-14,USA,Michigan State,2014,Gary Harris
203925,Guard-Forward,6-6,220,1991-09-06,USA,Virginia,2014,Joe Harris
1630284,Guard,6-6,216,1997-06-24,USA,Stephen F. Austin,2022,Joe Harris
202699,Forward,6-7,226,1992-07-15,USA,Tennessee,2011,Tobias Harris
1628404,Guard,6-4,215,1995-03-06,USA,Villanova,2017,Josh Hart
1628392,Center-Forward,7-0,250,1998-05-05,Germany,Zalgiris,2017,Isaiah Hartenstein
1630573,Forward,6-7,217,1997-12-08,USA,Virginia,2021,Sam Hauser
1629637,Center-Forward,7-0,220,2000-05-23,USA,Texas,2019,Jaxson Hayes
1630165,Guard,6-5,195,2001-07-27,France,Ratiopharm Ulm,2020,Killian Hayes
202330,Forward,6-7,225,1990-03-23,USA,Butler,2010,Gordon Hayward
1629639,Guard,6-5,195,2000-01-20,USA,Kentucky,2019,Tyler Herro
1627741,Guard,6-4,220,1992-12-17,Bahamas,Oklahoma,2016,Buddy Hield
1629312,Forward,6-5,220,1996-12-09,USA,Wheeling Jesuit,2018,Haywood Highsmith
201588,Guard,6-4,188,1986-05-04,USA,Indiana-Purdue Indianapolis,2008,Georges Niang
1630792,Forward,6-6,220,1995-10-26,USA,Illinois,2021,Malcolm Cazalon
1628988,Guard,6-0,185,1996-09-30,USA,UCLA,2018,Aaron Holiday
201950,Guard,6-5,205,1990-06-12,USA,UCLA,2009,Jrue Holiday
203200,Forward-Guard,6-6,180,1989-04-05,USA,Washington,2012,Justin Holiday
1626158,Forward,6-8,235,1993-10-15,USA,Bowling Green,2015,Richaun Holmes
201143,Center-Forward,6-9,240,1986-06-03,Dominican Republic,Florida,2007,Al Horford
1629659,Guard,6-4,234,2000-11-25,USA,Iowa State,2019,Talen Horton-Tucker
1627863,Forward-Guard,6-6,220,1993-06-07,USA,Texas A&M,2016,Danuel House Jr.
1631216,Guard,6-8,205,2003-01-09,Canada,Michigan,2022,Caleb Houstan
1628989,Guard-Forward,6-7,198,1998-08-27,USA,Maryland,2018,Kevin Huerter
1629631,Forward-Guard,6-8,221,1997-12-02,USA,Virginia,2019,De'Andre Hunter
1630538,Guard,6-2,169,2000-09-14,USA,Virginia Commonwealth,2021,Bones Hyland
2738,Guard-Forward,6-6,215,1984-01-28,USA,Arizona,2004,DeAndre Jordan
204060,Forward-Guard,6-9,220,1987-10-02,Australia,Maccabi Tel Aviv,2014,Joe Ingles
1627742,Forward,6-8,190,1997-09-02,USA,Duke,2016,Brandon Ingram
202681,Guard,6-2,195,1992-03-23,Australia,Duke,2011,Kyrie Irving
1628371,Forward,6-10,230,1997-10-03,USA,Florida State,2017,Jonathan Isaac
1631093,Guard,6-4,195,2002-02-13,USA,Purdue,2022,Jaden Ivey
1628402,Guard,6-3,205,1998-05-04,USA,Duke,2017,Jaren Jackson Jr.
1630543,Forward,6-9,205,2002-01-10,USA,Kentucky,2021,Isaiah Jackson
1628382,Forward,6-8,220,1995-03-28,USA,North Carolina,2017,Isaiah Jackson
1631245,Guard,6-5,173,1998-09-15,USA,Texas A&M,2022,Peyton Watson
202704,Guard,6-2,208,1990-04-16,USA,Boston College,2011,Reggie Jackson
1628991,Forward-Center,6-10,242,1999-09-15,USA,Michigan State,2018,Jaren Jackson Jr.
2544,Forward,6-9,250,1984-12-30,USA,St. Vincent-St. Mary HS (OH),2003,LeBron James
1629610,Guard-Forward,6-5,222,1997-08-30,USA,Tulsa,2019,DaQuan Jeffries
1629660,Guard-Forward,6-5,195,1997-07-08,USA,Virginia,2019,Ty Jerome
1630198,Guard,6-3,165,1999-07-02,USA,Arkansas,2020,Isaiah Joe
1628993,Forward,6-8,212,1996-04-22,USA,Missouri State,2018,Jalen Johnson
1629661,Forward,6-8,210,1996-03-03,USA,North Carolina,2019,Cameron Johnson
1630552,Forward,6-8,219,2001-12-18,USA,Duke,2021,Jalen Johnson
201949,Forward,6-7,240,1987-02-20,USA,Wake Forest,2009,Jalen Johnson
1629640,Forward-Guard,6-5,220,1999-10-11,USA,Kentucky,2019,Keldon Johnson
1630553,Guard,6-3,185,2002-03-10,USA,Tennessee,2021,Keldon Johnson
1626169,Forward-Guard,6-6,242,1996-05-29,USA,Arizona,2015,Jalen Johnson
203999,Center,6-11,284,1995-02-19,Serbia,Mega Basket,2014,Nikola Jokić
1630637,Guard,6-0,174,1997-12-23,USA,Louisville,2021,Colby Jones
1627745,Center,6-11,245,1995-06-30,USA,Vanderbilt,2016,Damian Jones
1630529,Forward,6-7,206,1998-10-06,USA,Alabama,2021,Herbert Jones
1630539,Center-Forward,6-11,221,2001-01-19,Bahamas,Texas,2021,Damian Jones
1630200,Guard,6-1,185,2000-01-08,USA,Duke,2020,Tre Jones
1626145,Guard,6-2,196,1996-05-10,USA,Duke,2015,Tyus Jones
1627884,Forward,6-6,210,1997-02-15,USA,UNLV,2016,Derrick Jones Jr.
201599,Center,6-11,265,1988-07-21,USA,Texas A&M,2008,DeAndre Jordan
202709,Guard,6-3,200,1991-08-20,Canada,Texas,2011,Cory Joseph
1631107,Forward,6-10,205,2003-06-09,Serbia,Mega Basket,2022,Nikola Jović
1630548,Guard,6-6,209,2001-03-17,USA,UCLA,2022,Johnny Davis
1628379,Guard,6-5,206,1996-06-24,USA,Duke,2017,Luke Kennard
1631117,Center,7-0,245,2001-07-26,USA,Auburn,2022,Walker Kessler
1630296,Forward,6-8,225,1997-02-14,USA,Virginia,2021,Braxton Key
1630557,Forward,6-6,224,1999-03-03,USA,Gonzaga,2021,Corey Kispert
1628467,Forward,6-10,240,1992-01-29,Germany,Bayern Munich,2017,Maxi Kleber
1630233,Forward-Center,6-8,253,1997-09-20,USA,William & Mary,2020,Jonathan Kuminga
1628995,Forward,6-7,215,1999-08-11,USA,Kentucky,2018,Kevin Knox
1631132,Center,7-0,230,2000-06-20,Cameroon,Arizona,2022,Christian Wood
1629723,Guard,6-5,210,1996-03-22,USA,Indiana-Purdue Fort Wayne,2019,John Konchar
1627788,Guard-Forward,6-7,202,1997-07-24,Turkey,Anadolu Efes,2016,Furkan Korkmaz
1628436,Center-Forward,7-2,250,1995-07-15,USA,Vanderbilt,2017,Luke Kornet
1630228,Forward,6-7,225,2002-10-06,DRC,NBA G League Ignite,2021,Jonathan Kuminga
1628398,Forward,6-9,221,1995-07-24,USA,Utah,2017,Kyle Kuzma
1631222,Forward,6-7,235,2001-11-03,USA,Wake Forest,2022,Jake LaRavia
203897,Guard,6-5,200,1995-03-10,USA,UCLA,2014,Zach LaVine
1630237,Forward,6-6,227,1998-01-20,USA,Vermont,2020,Anthony Davis
1629111,Center,6-11,255,1995-10-25,Australia,St. Mary's,2021,Jock Landale
1630639,Guard,6-6,179,2000-07-15,Canada,South Carolina,2022,P.J. Washington
1627747,Guard,6-6,205,1994-08-25,USA,Michigan,2016,Caris LeVert
1627814,Guard-Forward,6-5,210,1992-10-21,USA,Drexel,2017,Draymond Green
1630240,Guard,6-2,183,1999-06-23,USA,Vanderbilt,2020,Saben Lee
203458,Center,7-2,250,1993-06-16,Ukraine,Maryland,2013,Alex Len
202695,Forward,6-7,225,1991-06-29,USA,San Diego State,2011,Kawhi Leonard
1630184,Guard,6-1,170,2001-04-06,USA,Alabama,2020,Kira Lewis Jr.
1630604,Forward,6-6,240,2000-12-18,USA,Ohio State,2022,E.J. Liddell
203081,Guard,6-2,195,1990-07-15,USA,Weber State,2012,Damian Lillard
1629642,Forward-Guard,6-5,220,2000-02-11,USA,North Carolina,2019,Nassir Little
1630587,Forward,6-6,232,1998-07-28,USA,Michigan,2021,Isaiah Livers
1631254,Forward,6-6,275,2002-08-14,USA,Louisiana Tech,2022,Kenneth Lofton Jr.
1626172,Forward,6-9,222,1996-02-06,USA,UCLA,2015,Kevon Looney
201572,Center,7-1,282,1988-04-01,USA,Stanford,2008,Brook Lopez
201577,Center,7-0,281,1988-04-01,USA,Stanford,2008,Robin Lopez
201567,Forward-Center,6-8,251,1988-09-07,USA,UCLA,2008,Kevin Love
200768,Guard,6-0,196,1986-03-25,USA,Villanova,2006,Kyle Lowry
1626168,Forward,6-9,234,1995-11-05,Canada,Kentucky,2015,Tre Jones
1630177,Guard,6-5,175,2001-06-12,France,Asvel,2020,Théo Maledon
1630572,Forward-Center,6-10,240,1999-05-23,Georgia,Seton Hall,2021,Sandro Mamukelashvili
1629611,Guard-Forward,6-5,215,1996-10-18,USA,Florida State,2019,Terance Mann
1630544,Guard,6-3,178,2001-02-03,USA,Florida,2021,Tre Mann
1628374,Forward-Center,7-0,240,1997-05-22,Finland,Arizona,2017,Lauri Markkanen
1630230,Forward,6-7,220,1998-01-24,USA,Xavier,2020,Naji Marshall
1628997,Forward,6-5,205,1995-09-28,USA,Nevada,2019,Caleb Martin
1628998,Forward,6-6,205,1995-09-28,USA,Nevada,2019,KJ Martin
1631213,Guard,6-6,215,1999-03-07,USA,Connecticut,2022,Tyrese Haliburton
1630231,Forward,6-7,215,2001-01-06,USA,IMG Academy (FL),2020,KJ Martin
1629726,Guard,6-6,215,1996-10-24,USA,Lipscomb,2019,Garrison Mathews
1631097,Guard-Forward,6-5,210,2002-06-19,Canada,Arizona,2022,Bennedict Mathurin
202083,Guard,6-5,220,1986-10-14,USA,Marquette,2009,Wesley Matthews
1630178,Guard,6-2,200,2000-11-04,USA,Kentucky,2020,Tyrese Maxey
1630219,Guard,6-4,205,1997-09-05,USA,Louisiana State,2020,Skylar Mays
1630540,Guard,6-2,195,2000-09-08,USA,West Virginia,2021,Miles McBride
203468,Guard,6-3,190,1991-09-19,USA,Lehigh,2013,CJ McCollum
204456,Guard,6-1,190,1992-03-25,USA,Arizona,2015,T.J. McConnell
1630183,Forward,6-9,185,2000-09-29,USA,Washington,2020,Jaden McDaniels
1629667,Forward-Center,6-9,205,1998-01-31,USA,San Diego State,2019,Jalen McDaniels
203926,Forward,6-6,225,1992-01-03,USA,Creighton,2014,Doug McDermott
201580,Center-Forward,7-0,270,1988-01-19,USA,Nevada,2008,JaVale McGee
1631121,Guard,6-6,175,2002-11-08,USA,Nebraska,2022,Bryce McGowens
1629162,Guard,6-0,185,1996-04-09,USA,Southern California,2019,Jordan McLaughlin
1629001,Guard,6-2,200,1998-05-28,USA,Southern California,2018,De'Anthony Melton
1630241,Guard,6-4,205,1996-05-15,USA,Utah State,2020,Sam Merrill
1629002,Forward-Center,6-9,225,1997-03-22,USA,Southern California,2018,Chimezie Metu
203114,Forward,6-7,222,1991-08-12,USA,Texas A&M,2012,Khris Middleton
1629003,Guard-Forward,6-5,205,1996-09-26,USA,Southern Methodist,2018,Shake Milton
1631303,Forward,6-7,210,1999-03-26,USA,Providence,2022,Justin Minaya
1631169,Forward,6-8,205,2002-11-25,USA,Memphis,2022,Josh Minott
1630558,Guard,6-0,202,1998-09-05,USA,Baylor,2021,Davion Mitchell
1628378,Guard,6-1,215,1996-09-07,USA,Louisville,2017,Donovan Mitchell
1630596,Center,6-11,215,2001-06-18,USA,Southern California,2021,Evan Mobley
1630600,Forward,6-8,238,1999-09-24,USA,Southern California,2022,Isaiah Mobley
1631320,Forward,6-5,223,1995-12-24,Nigeria,Cal-Davis,2022,Chuma Okeke
1628370,Guard,6-3,200,1998-02-04,USA,Kentucky,2017,Malik Monk
1630541,Guard,6-5,211,2002-05-31,USA,Arkansas,2021,Moses Moody
1631111,Guard,6-5,215,2001-09-18,USA,Duke,2022,Wendell Carter Jr.
1629630,Guard,6-2,174,1999-08-10,USA,Murray State,2019,Jerami Grant
202693,Forward,6-9,245,1989-09-02,USA,Kansas,2011,Markieff Morris
1628420,Guard,6-2,183,1995-06-27,USA,Iowa State,2017,Markieff Morris
202694,Forward,6-8,218,1989-09-02,USA,Kansas,2011,Marcus Morris
1627749,Guard,6-5,180,1996-09-19,USA,Washington,2016,Dejounte Murray
1627750,Guard,6-4,215,1997-02-23,Canada,Kentucky,2016,Jamal Murray
1631099,Forward,6-8,225,2000-08-19,USA,Iowa,2022,Keegan Murray
203488,Forward-Center,6-11,240,1991-07-01,USA,Bucknell,2013,Mike Muscala
1629004,Guard-Forward,6-7,205,1997-06-10,Ukraine,Kansas,2018,Svi Mykhailiuk
1626204,Forward-Center,6-8,245,1993-01-01,USA,Wyoming,2015,Larry Nance Jr.
1629614,Guard-Forward,6-3,191,2000-01-16,Canada,Gonzaga,2022,Andrew Nembhard
1630174,Guard-Forward,6-5,215,1999-10-16,USA,Vanderbilt,2020,Aaron Nesmith
203526,Guard,6-2,180,1992-05-19,Brazil,Murcia,2013,Paul George
1627777,Forward,6-7,230,1993-06-17,USA,Iowa State,2016,Georges Niang
1630192,Forward-Center,6-9,240,2001-01-09,USA,Arizona,2020,Zeke Nnaji
1629669,Guard,6-4,201,1999-07-09,USA,Washington,2019,Jaylen Brown
1629134,Guard,6-3,190,1995-08-03,USA,Oakland,2018,Kris Dunn
203994,Center,7-0,290,1994-08-23,Bosnia and Herzegovina,Cedevita,2014,Jusuf Nurkić
1629670,Forward,6-9,225,1998-09-09,USA,Louisville,2020,Jordan Nwora
1626220,Forward,6-6,226,1993-06-05,USA,Baylor,2017,Royce O'Neale
1629643,Forward,6-8,229,1998-08-18,USA,Auburn,2019,Chuma Okeke
1629006,Guard,6-4,213,1998-09-01,Nigeria,Georgia Tech,2018,Josh Okogie
